period, index,none,portability,efficiency,reliability,functionality,usability,maintainability
7/31/2000,1,3,40,2,7,54,48,0
8/30/2000,2,1,27,0,2,31,34,5
9/29/2000,3,1,26,7,2,21,20,6
10/29/2000,4,1,36,0,21,35,14,4
11/28/2000,5,1,35,5,20,42,33,13
12/28/2000,6,2,28,8,26,17,27,9
1/27/2001,7,3,36,0,19,22,18,7
2/26/2001,8,0,46,10,13,35,27,6
3/28/2001,9,0,45,3,22,46,29,11
4/27/2001,10,1,40,2,13,23,24,0
5/27/2001,11,2,22,9,27,27,18,8
6/26/2001,12,5,16,7,8,14,17,0
7/26/2001,13,1,27,2,18,19,14,3
8/25/2001,14,0,32,4,7,19,14,0
9/24/2001,15,0,21,0,0,10,9,3
10/24/2001,16,1,17,6,4,20,20,0
11/23/2001,17,2,6,12,12,10,19,0
12/23/2001,18,0,12,2,10,10,5,0
1/22/2002,19,1,6,19,12,18,10,3
2/21/2002,20,4,9,0,2,8,9,0
3/23/2002,21,0,20,6,0,32,6,0
4/22/2002,22,2,16,0,8,26,9,0
5/22/2002,23,0,5,0,0,16,9,0
6/21/2002,24,0,6,2,6,27,6,5
7/21/2002,25,1,35,4,2,44,14,3
8/20/2002,26,1,10,10,6,14,11,3
9/19/2002,27,2,16,4,0,26,14,0
10/19/2002,28,3,8,0,14,20,9,0
11/18/2002,29,1,12,0,5,29,13,4
12/18/2002,30,0,3,4,5,24,7,0
1/17/2003,31,1,9,0,20,32,3,0
2/16/2003,32,1,3,0,7,25,14,2
3/18/2003,33,1,4,0,0,10,0,3
4/17/2003,34,1,1,0,3,17,4,0
5/17/2003,35,1,4,2,4,21,0,0
6/16/2003,36,0,0,4,2,12,0,0
7/16/2003,37,0,0,0,2,4,2,0
8/15/2003,38,0,2,0,4,12,2,0
9/14/2003,39,1,3,0,0,6,4,0
10/14/2003,40,0,0,0,0,4,1,7
11/13/2003,41,0,7,0,0,0,0,0
12/13/2003,42,0,0,0,0,0,0,0
1/12/2004,43,1,2,0,0,4,0,0
2/11/2004,44,0,0,0,0,4,0,0
3/12/2004,45,0,0,0,0,2,4,0
4/11/2004,46,0,0,0,2,4,0,0
5/11/2004,47,0,0,0,0,6,0,0
6/10/2004,48,2,0,0,0,4,0,0
7/10/2004,49,0,3,0,0,0,1,0
8/9/2004,50,0,0,0,4,2,2,0
