,product,accuracy,f1,fn,fp,tn,tnr,tp,mcc,precision,recall,roca
MaxDB exp2,portability,0.774,0.228,76,12,288,0.960,13,0.182,0.520,0.146,0.553
,efficiency,0.833,0.217,36,29,315,0.916,9,0.125,0.237,0.200,0.558
,reliability,0.715,0.380,7,104,244,0.701,34,0.340,0.246,0.829,0.765
,functionality,0.902,0.095,32,6,349,0.983,2,0.083,0.250,0.059,0.521
,maintainability,0.797,0.092,76,3,306,0.990,4,0.123,0.571,0.050,0.520
,usability,0.830,0.175,11,55,316,0.852,7,0.138,0.113,0.389,0.620
,total,0.808,0.236,238,209,1818,0.897,69,0.127,0.248,0.225,0.561
mysql exp2,portability,0.616,0.138,225,0,343,1.000,18,0.211,1.000,0.074,0.537
,efficiency,0.935,0.345,27,11,538,0.980,10,0.327,0.476,0.270,0.625
,reliability,0.751,0.425,45,101,386,0.793,54,0.287,0.348,0.545,0.669
,functionality,0.457,0.025,315,3,264,0.989,4,0.006,0.571,0.013,0.501
,maintainability,0.766,0.000,137,0,449,1.000,0,0.000,0.000,0.000,0.500
,usability,0.920,0.175,27,20,534,0.964,5,0.135,0.200,0.156,0.560
,total,0.741,0.167,776,135,2514,0.949,91,0.095,0.403,0.105,0.527
maxdb exp3,portability,0.707,0.472,38,76,224,0.747,51,0.286,0.402,0.573,0.660
,efficiency,0.373,0.223,10,234,110,0.320,35,0.068,0.130,0.778,0.549
,reliability,0.434,0.257,3,217,131,0.376,38,0.196,0.149,0.927,0.652
,functionality,0.535,0.236,6,175,180,0.507,28,0.187,0.138,0.824,0.665
,maintainability,0.627,0.338,43,102,207,0.670,37,0.112,0.266,0.463,0.566
,usability,0.278,0.108,1,280,91,0.245,17,0.094,0.057,0.944,0.595
,total,0.492,0.258,101,1084,943,0.465,206,0.093,0.160,0.671,0.568
mysql exp3,portability,0.616,0.413,164,61,282,0.822,79,0.170,0.564,0.325,0.574
,efficiency,0.526,0.158,11,267,282,0.514,26,0.105,0.089,0.703,0.608
,reliability,0.596,0.388,24,213,274,0.563,75,0.240,0.260,0.758,0.660
,functionality,0.623,0.652,112,109,158,0.592,207,0.240,0.655,0.649,0.620
,maintainability,0.677,0.203,113,76,373,0.831,24,0.007,0.240,0.175,0.503
,usability,0.358,0.105,10,366,188,0.339,22,0.013,0.057,0.688,0.513
,total,0.566,0.362,434,1092,1557,0.588,433,0.076,0.284,0.499,0.544
,,,,,,,,,,,,
,,,,,,,,,,,,
